,Idade,Sexo,Dependentes,Nivel_educacional,Estado_civil,Renda,limite_do_cartao
0,45,1,3,3,3,3,12691.0
1,49,0,5,5,2,1,8256.0
2,51,1,3,5,3,4,3418.0
3,40,0,4,3,1,1,3313.0
4,40,1,3,2,3,3,4716.0
5,44,1,2,5,3,2,4010.0
6,51,1,4,1,3,5,34516.0
7,32,1,0,3,1,3,29081.0
8,37,1,3,2,2,3,22352.0
9,48,1,2,5,2,4,11656.0
10,42,1,5,2,1,5,6748.0
11,65,1,1,1,3,2,9095.0
12,56,1,1,4,2,4,11751.0
13,35,1,3,5,1,3,8547.0
14,57,0,2,5,3,1,2436.0
15,44,1,4,1,1,4,4234.0
16,48,1,4,6,2,4,30367.0
17,41,1,3,1,3,4,13535.0
18,61,1,1,3,3,2,3193.0
19,45,0,2,5,3,6,14470.0
20,47,1,1,7,4,3,20979.0
21,62,0,0,5,3,1,1438.3
22,41,1,3,3,3,2,4470.0
23,47,0,4,1,2,1,2492.0
24,54,1,2,1,3,4,12217.0
25,41,0,3,5,2,1,7768.0
26,59,1,1,3,1,2,14784.0
27,63,1,1,1,3,3,10215.0
28,44,0,3,2,2,6,10100.0
29,47,1,4,3,3,2,4785.0
30,53,1,3,1,3,4,2753.0
31,53,1,2,2,3,3,2451.0
32,41,1,4,5,3,3,8923.0
33,53,0,2,4,3,1,2650.0
34,58,1,0,5,3,4,12555.0
35,55,0,1,4,2,1,3520.0
36,55,0,3,5,3,1,3035.0
37,42,0,4,3,3,1,15433.0
38,57,0,1,5,1,2,3672.0
39,66,0,0,7,3,6,7882.0
40,45,1,3,5,2,4,32426.0
41,51,1,2,1,3,2,6205.0
42,50,0,1,4,2,2,17304.0
43,49,1,3,3,3,3,3906.0
44,38,0,4,5,2,6,9830.0
45,49,1,4,2,2,4,34516.0
46,56,1,2,7,3,3,2283.0
47,59,1,1,7,3,2,2548.0
48,46,1,3,3,3,4,19458.0
49,52,1,1,4,2,4,4745.0
50,52,0,3,1,3,1,2622.0
51,54,0,1,5,3,1,1438.3
52,66,0,0,3,3,1,3171.0
53,49,1,2,1,3,5,19763.0
54,56,1,2,5,3,5,15769.0
55,49,0,4,5,1,1,3298.0
56,49,0,3,5,2,1,2802.0
57,56,1,2,2,3,2,4458.0
58,44,0,5,5,3,6,6273.0
59,42,1,2,3,2,3,3336.0
60,55,1,3,1,3,4,3436.0
61,48,1,2,5,3,3,34516.0
62,39,1,1,3,4,3,5926.0
63,44,1,4,6,2,5,23957.0
64,53,1,2,3,2,5,14734.0
65,51,1,4,2,2,4,34516.0
66,57,1,2,4,3,3,6584.0
67,44,0,2,2,2,1,2084.0
68,49,1,2,5,3,3,1687.0
69,50,1,2,7,3,4,25300.0
70,51,1,4,5,2,5,34516.0
71,55,0,2,5,3,1,2216.0
72,54,1,1,5,1,3,2910.0
73,42,1,5,2,3,4,22913.0
74,44,1,1,4,2,3,24312.0
75,53,1,2,5,2,4,5272.0
76,44,0,4,5,2,1,7000.0
77,37,0,3,2,2,1,7038.0
78,49,1,3,5,4,3,2536.0
79,47,1,2,5,3,4,28904.0
80,47,1,3,5,3,3,8567.0
81,44,1,1,1,1,5,34516.0
82,55,0,4,1,3,2,2158.0
83,59,0,1,5,3,6,10133.0
84,53,1,1,5,4,4,34516.0
85,52,1,2,5,3,3,3085.0
86,53,1,2,3,2,5,19040.0
87,43,0,3,2,2,1,4026.0
88,44,1,3,3,2,3,12756.0
89,57,1,2,1,3,5,5266.0
90,51,0,2,3,2,1,9930.0
91,49,1,4,3,2,4,31302.0
92,45,1,1,5,2,2,6576.0
93,53,1,0,5,2,4,2664.0
94,45,0,3,1,3,6,2535.0
95,64,1,1,5,3,1,1709.0
96,45,1,3,5,3,2,3454.0
97,53,1,3,7,3,2,3789.0
98,56,1,3,4,3,5,9689.0
99,47,1,2,1,3,4,5449.0
100,49,0,3,4,2,6,23032.0
101,41,0,3,1,3,6,34516.0
102,53,1,3,5,3,5,2940.0
103,44,0,2,5,2,1,3031.0
104,44,1,3,3,1,3,1862.0
105,43,0,4,6,3,1,8358.0
106,53,1,2,6,2,5,34516.0
107,44,1,1,2,3,3,14450.0
108,62,0,1,1,3,1,1438.3
109,54,1,4,1,4,5,33791.0
110,57,1,4,5,3,3,8466.0
111,42,1,3,1,3,3,15088.0
112,42,1,4,3,4,3,3263.0
113,54,0,0,2,3,1,1494.0
114,48,1,3,5,2,4,13551.0
